id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Eric;Daugherty;Frederick_OConnell72@hotmail.com;local area network Benin;2019-12-05T20:21:31;36771;63633
2;Dimitri;Friesen;Lamar.Wiza48@gmail.com;Investor users dot-com;2019-12-05T17:05:16;57690;66892
3;Jeramie;Stracke;Daren.Reichert@gmail.com;Shoes deposit;2019-12-06T04:19:10;99455;94045
4;Janet;Wilkinson;Tavares_Tillman@gmail.com;Factors;2019-12-06T00:37:56;42818;55276
5;Vita;Marquardt;Wilhelmine29@hotmail.com;reinvent;2019-12-05T12:08:35;26847;31692
6;Jazmyne;Dach;Kaylie_Huels69@yahoo.com;Arkansas Intelligent Credit Card Account;2019-12-05T08:48:32;35864;14008
7;Deonte;Larson;Serenity_Hammes69@gmail.com;Sudanese Pound;2019-12-05T23:56:32;55281;29359
8;Elenora;Schowalter;Ramiro_Gaylord91@yahoo.com;Avon;2019-12-05T20:32:02;62789;79829
9;Clemmie;O'Conner;Maybelle.Hyatt89@gmail.com;value-added incubate Practical;2019-12-05T18:41:29;67202;3594
10;Erling;Kohler;Karen83@gmail.com;TCP Assimilated;2019-12-06T07:38:17;82260;30326
